SlNo,Barcode,Item Name,Size,Party Name,P.Price,S.Price,Qty,Amount,HSNCode,EAN CODE
132,2344,AMERICAN APPLE 300ML,,A ONE SANDEEP,50.00,75.00,5,250.00,,8850534112937
133,2368,LYNDT LINDOR STRAWBERRY,,jublee,600.00,1000.00,1,600.00,,8003340095301
134,2375,SNICKERS SNACK 25G 2,,prathamesh enterprise,15.00,20.00,30,405.01,1806,8906002482481
135,2381,FRSH FRUIT STRAWBERRY,,SURENDRAN STORE,162.50,250.00,2,308.10,,  
136,2382,FRESH FRUITS GRAPE,,SURENDRAN STORE,100.00,150.00,0,0.40,,  
137,2384,ANNELEEN RED GRAPE,,A ONE SANDEEP,130.00,250.00,1,130.01,,5414145065995
138,2392,KESAR SUGAR,,m/s new royal,200.00,400.00,0,0.40,,  
139,2394,ERKO MARSHMALLOW 160G,,A ONE SANDEEP,48.00,80.00,8,384.06,,6914253437633
140,2426,MUNCHYS CREAM CRACKES,,MAHAVIR,135.00,170.00,4,540.00,,9556439880979
141,2427,MUNCHYS SUGAR CRACKES,,MAHAVIR,135.00,170.00,6,810.01,,9556439888555
142,2430,FIG AFGHAN BIG,,APMC,1250.00,1750.00,17,20773.43,0804,  
143,2431,PUSAN CHOKOVERTO,,A ONE SANDEEP,7.70,15.00,65,500.53,,8992730997014
144,2461,DOJO STONE CHOCOLATE,,m/s new royal,400.00,750.00,0,0.80,,  
145,2466,FOX CRYSTAL FRUITS 90G,,A ONE SANDEEP,38.00,60.00,12,455.97,,8992696419308
146,2468,NESCAFE GOLD 50G,,A ONE CHOCOLATE,205.00,320.00,2,410.00,,8801055707119
147,2483,SOUR PUNK COLA 40G,,jublee,20.41,30.00,7,142.88,,8850632603689
148,2484,SOUR PUNK STRAWBERRY 40G,,local purchase,20.00,30.00,21,419.99,,8850632603566
149,2505,TANG MANGO P 500G,,MAHAVIR,100.00,220.00,2,200.00,,7622300292416
150,2519,SNICKERS FREE RS.20 PAYTM,,prathamesh enterprise,29.99,40.00,22,593.80,1806,8906002482450
151,2521,RITE BITE MAX PROTEIN 75G,,prathamesh enterprise,76.27,120.00,17,1296.64,,8906009531335
