SlNo,Barcode,Item Name,Size,Party Name,P.Price,S.Price,Qty,Amount,HSNCode,EAN CODE
555,3625,PRINGLES SALT VINEGAR 69P,,A ONE SANDEEP,50.00,80.00,7,350.00,,5053990137794
556,3626,SAMUDERA TAKE ABITE ASSORTED BISCUITS,,MAHAVIR,230.00,395.00,7,1610.05,,9555039903477
557,3627,AMERICAN GARDEN PANCAKE SYRUP MAPLE,,A ONE SANDEEP,240.00,400.00,2,480.03,,017273501592
558,3632,BEANIES COFFEE CREAMY CARAMEL 50G,,RAJKALA INDUSTRIES PVT,314.62,495.00,1,314.59,,5060169982062
559,3633,TOMMY FRUITY JELLY BEANS,,local purchase,12.08,25.00,8,96.64,,8852047237114
560,3634,GIFT PACK,,ajfan,136.14,2630.00,4,544.56,,  
561,3635,GIFT PACK,,ajfan,1200.00,2200.00,4,4800.00,,  
562,3641,HOME MADE TASTY GARLIC PICKLE,,JAI SHRI KRISHNA,80.00,130.00,1,80.00,,  
563,3644,AMERICAN GREEN HONEY 500G,,A ONE SANDEEP,215.00,350.00,6,1290.06,,003004575833
564,3645,COJO COJO APPLE JUICE,,ajfan,34.38,55.00,5,186.38,,8936121118015
565,3646,COJO COJO MELON JUICE,,ajfan,34.38,55.00,3,111.83,,8936121118039
566,3648,COJO COJO PINEAPPLE JUICE,,ajfan,34.38,55.00,2,74.55,,8936121118022
567,3650,COJO COJO GUAVA JUICE,,ajfan,34.38,55.00,3,111.83,,8936121118046
568,3651,ALMARAI CHEES SLICES SANDWICH,,local purchase,280.00,380.00,3,840.00,,6281007169202
569,3658,LA BRITISH PREMIUM BUTTER COOKIES,,ajfan,135.00,245.00,5,731.84,,8906064281275
570,3659,LA BRITISH PREMIUM BUTTER COOKIES 400G,,ajfan,135.00,295.00,1,146.37,,8906064281169
571,3666,TAYAS CASH CARAMEL,,local purchase,7.91,15.00,21,166.12,,8690997010834
572,3673,CADBERY BOURNVILLE CLASSIC DARK CHOCO,,local purchase,200.00,350.00,1,200.00,,7622210249661
573,3674,QUINOA PUFFS PEPPY CHEESE,,JETHALAL MEGHJI TRADING CO,57.14,80.00,15,750.02,,  
574,3675,6 GRAIN STIX CHEESY JALAPENO,,JETHALAL MEGHJI TRADING CO,25.00,35.00,1,21.88,,8908006634460
575,3677,6 GRAIN STIX TANGY PICKLE,,JETHALAL MEGHJI TRADING CO,25.00,35.00,4,87.51,,8908006634613
576,3680,TRENTS ECLAIRS PLUS,,anandi bai,202.00,299.00,9,1818.00,,9501034837705
577,3684,BOOBOO MINT PISMANIYA DELIGHT,,U K SALES,127.12,200.00,2,247.71,,8906090980159
578,3685,BOOBOO STRAWBERRY PISMANIYA DELIGHT,,U K SALES,127.12,200.00,3,371.11,,8906090980098
579,3686,BOOBOO PISTACHIO PISMANIYA DELIGHT,,U K SALES,127.12,200.00,3,371.11,,8906090980142
580,3687,KEKY VOLCANIC ORANGE SAUCE CHOCOLATE CAKE,,RAJKALA INDUSTRIES PVT,12.71,40.00,7,88.99,,8680979215760
581,3688,SKIN CASHEW,,PRATAPSINH &CO,756.00,1150.00,3,2304.98,08013220,  
582,3689,JUICY JELLY STRAWBERRY 250ML,,ajfan,22.32,35.00,6,145.20,,8859032706914
583,3690,ICE BREAKERS RASPBERRY,,A ONE SANDEEP,90.00,190.00,4,360.02,,346660
584,3692,KRAFT LIGHT 10 SLICES,,local purchase,220.00,350.00,1,220.01,,7622210720153
585,3694,SNICKERS  15% FREE,,prathamesh enterprise,15.00,20.00,91,1228.45,,8906002485796
586,3695,TNI KING COFFEE 3IN1,,S.R. ENTERPRISE,444.92,700.00,2,890.05,,8935259090095
587,3696,TNI  KING COFFEE ESPRESSO,,HINDUSTAN MARKETING,425.85,670.00,2,794.92,,8935259090200
588,3697,G7 CAPPUCCINO MOCHA,,S.R. ENTERPRISE,228.82,360.00,2,457.75,,8935024141854
589,3698,G7 CAPPUCCINO HAZELNUT,,HINDUSTAN MARKETING,228.82,360.00,2,427.12,,8935024141847
590,3701,LOACKER MILK CHOCOLATE 50G,,jublee,90.00,169.00,1,90.00,,80001072
591,3704,RAINBOW ORIGINAL MILK,,A ONE SANDEEP,65.00,99.00,2,130.00,,8716200672580
592,3706,TWININGS PINEAPPLE & GRAPEFRUIT TEA,,A ONE SANDEEP,200.00,325.00,1,200.00,,070177173753
593,3709,TWININGSPURE PEPPERMINT INFUSION,,A ONE SANDEEP,200.00,325.00,1,200.00,,070177083595
594,3710,VIP CHOCO WAFER,,A ONE SANDEEP,8.95,20.00,35,313.30,,8691707095318
595,3711,FERRERO  ROCHER  T 8,,A ONE SANDEEP,180.00,299.00,7,1259.99,,8000500278727
596,3713,TROPICANA MOSAMBI DELIGHT 1000ML,,PIONEER SALES CORPORATION,86.77,110.00,1,80.99,,8902080013012
597,3716,LINDT LINDOR LAIT 150G,,local purchase,370.00,550.00,3,1110.00,,3046920042963
598,3718,KINDER CHOCOLATE MAXI,,jublee,36.66,50.00,3,109.99,,40084077
599,3721,GODIVA BELGIUM 1926 SALTED CARAMEL,,jublee,330.00,500.00,1,330.00,,5000168199245
600,3722,CADBURY FUDGE MINIS,,jublee,220.00,320.00,1,220.00,,7622210654816
601,3723,CADBURY CRUNCHIE ROCKS,,jublee,220.00,320.00,1,220.00,,7622210285485
602,3727,MAY GOLD RED GRAPE JUICE,,MAHAVIR,150.00,260.00,3,450.00,,8413481040021
603,3728,MAY GOLD POMEGRANATE JUICE,,MAHAVIR,150.00,260.00,2,300.00,,8413481040205
604,3729,MAY GOLD STRAWBERRY JUICE,,MAHAVIR,150.00,260.00,3,450.00,,8413481040335
605,3730,MAY GOLD LICHEE JUICE,,MAHAVIR,150.00,260.00,1,150.00,,8413481040212
606,3731,NESTLE COFFEE MATE ORIGINAL 400G,,A ONE SANDEEP,150.00,350.00,2,300.01,,8850124011053
607,3737,LOACKER  CAPPUCCINO125G,,jublee,220.00,299.00,3,660.01,,8000380140565
608,3742,CLASSIC HONEY 500G,,SALEEM BAI,200.00,400.00,8,1600.00,,6419950084031
609,3743,CLASSIC HONEY 400G,,SALEEM BAI,180.00,350.00,7,1260.00,,6419950099820
610,3744,OAT MATE CURRANT & CHOCOLATE CHIPS COOKIES,,SALEEM BAI,75.00,125.00,3,225.00,,9556995240019
611,3745,OAT MATE CURRANT COOKIES,,SALEEM BAI,75.00,125.00,6,450.00,,9556995240026
612,3746,OAT MATE CHOCOLATE CHIPS COOKIES,,SALEEM BAI,75.00,125.00,6,450.00,,9556995240002
613,3753,NESTLE AREO DELIGHTFUL PEPPERMINT,,jublee,200.00,350.00,1,200.00,,7613034572516
614,3756,CHO CHO COOKIES & CREAM 500G,,jublee,190.00,300.00,1,190.00,,8992952953577
615,3757,TANG STRAWBERRY 175G,,MAHAVIR,130.00,180.00,2,260.01,,7622300411282
616,3758,TANG GRAPE 175G,,MAHAVIR,130.00,180.00,5,650.02,,4808647310164
617,3759,SPRITE 320ML,,MAHAVIR,50.00,75.00,6,300.01,,9555589200668
618,3760,PRINGLES HONEY MUSTERD 158G,,A ONE SANDEEP,105.00,170.00,1,105.00,,038000138850
619,3762,CHIKO ECLAIRS HAZELNUT 400G,,anandi bai,115.00,170.00,1,115.00,,9501034777353
620,3763,CHIKO ECLAIRS MILK 400G,,anandi bai,115.00,170.00,3,345.00,,9501034773553
621,3765,QUINOA PUFFS PEPPY CHEESE,,JETHALAL MEGHJI TRADING CO,57.14,80.00,6,300.00,,  
622,3768,RICOLA HERBAL SWEET ALPINE SAGE,,local purchase,110.00,160.00,1,110.00,,7610700922538
623,3769,TRIDENT BUBBLEGUM WATERMELON,,A ONE SANDEEP,55.00,120.00,1,55.00,,012546615952
624,3772,FIGARO BLACK OLIVE,,A ONE SANDEEP,110.00,179.00,5,550.03,,8410159048976
625,3773,POP PAN SPRING ONION & CHIVE CRACKERS,,MAHAVIR,190.00,280.00,4,760.01,,089782010681
626,3775,AL BARAKAH DATES SYRUP 400G,,local purchase,240.00,350.00,2,480.00,,  
627,3776,BEE HONEY GINGER,,M/S LivRite Foods LLP,233.33,350.00,2,466.68,,8908006921195
628,3777,BEE HONEY  CINNAMON,,M/S LivRite Foods LLP,233.33,350.00,4,933.36,,8908006921164
629,3778,BEE HONEY  CARDAMOM,,M/S LivRite Foods LLP,233.33,350.00,5,1166.75,,8908006921171
630,3779,BEE HONEY WITH CLOVE,,M/S LivRite Foods LLP,233.33,350.00,7,1633.45,,8908006921188
631,3788,FIN CARRE STRAWBERRY CRISP CHOCOLATE,,jublee,350.00,500.00,1,350.00,,20146900
632,3792,NATURAL FIGS 400G,,APMC,136.00,210.00,20,2720.12,,  
633,3793,PRINGLES SOUR CREAM&ONION 40G,,jublee,50.00,80.00,1,50.00,,038000845529
634,3800,BEE HONEY  CARDAMOM 30G,,M/S LivRite Foods LLP,33.33,50.00,4,133.33,,8908006921126
635,3801,BEE HONEY CINNAMON 30G,,M/S LivRite Foods LLP,33.33,50.00,1,33.33,,8908006921157
636,3802,BEE HONEY CLOVE 30G,,M/S LivRite Foods LLP,33.33,50.00,3,100.00,,8908006921133
637,3804,KITKAT 2 FINGER 20.7G,,jublee,16.11,30.00,16,257.77,,50189205
638,3806,MACANA ALL MIX,,m/s new royal,110.00,150.00,13,1430.00,,  
639,3807,TRY 12MM,,local purchase,100.00,200.00,10,1000.00,,  
640,3808,pvc round bowel 6'',,local purchase,20.00,50.00,89,1780.00,,  
641,3809,pvc round bowel 6'',,local purchase,60.00,120.00,9,540.00,,  
642,3816,KOPIKO CAPPUCCINO CANDY 150g,,A ONE SANDEEP,60.00,90.00,1,60.00,,8996001320136
643,3817,SNICKERS FREE RS.20 PAYTM,,prathamesh enterprise,26.25,35.00,34,803.29,1806,8906002482450
644,3820,HERSHEY KISSES MILK CHO 43g,,jublee,95.00,150.00,4,380.00,,341210
645,3822,MENTOS ICE BLAST,,jublee,105.00,140.00,1,105.00,,8935001707363
646,3826,CHIKO ROYALE MIX 400g,,anandi bai,155.00,260.00,8,1240.00,,9501034603522
647,3827,KITKAT DARK 4,,MAHAVIR,16.66,100.00,2,33.32,,7613035510104
648,3828,PAAWAK JAGGERY POWDER,,JAY ENTERPRISE,65.00,100.00,1,65.00,,8906053810776
649,3829,PAAWAK JAGGERY,,JAY ENTERPRISE,65.00,100.00,8,520.00,,8906053810264
650,3830,SNICKERS CARAMEL INTENSE,,prathamesh enterprise,37.50,50.00,200,6749.70,,8906002485765
651,3834,SNICKERS  PACKET 150GM,,prathamesh enterprise,68.45,99.00,9,554.48,18069010,8906002482054
652,3836,OREO DARK AND WHITE CHOCOLATE,,MAHAVIR,50.00,90.00,6,300.01,,7622210708434
653,3838,COCA COLA ZERO SUGAR,,MAHAVIR,50.00,75.00,24,1200.01,,8888002087005
654,3839,SPEARMINT RAIN,,MAHAVIR,100.00,180.00,2,200.01,,022000005144
655,3840,WINTERMINT ASCENT,,MAHAVIR,100.00,180.00,3,300.01,,022000015532
656,3841,PRINGLES BBQ 40g,,A ONE SANDEEP,50.00,80.00,1,50.00,,5053990107278
657,3847,PRINGLES SOUR CREAM 40G,,A ONE SANDEEP,50.00,80.00,1,50.00,,5053990107384
658,3848,PRINGLES ORIGINAL 40G,,A ONE SANDEEP,50.00,80.00,1,50.00,,5053990107339
659,3849,PAPER B COCONUT WATER 200ml,,AYU INVESTMENTS,29.76,40.00,18,514.28,,8906080601248
660,3850,GALAXY FLUITES22.5,,ajfan,25.00,60.00,93,2325.00,,6221134000108
661,3851,GIFT PACK,,FAREED BHAI TOKRIWALA,35.00,50.00,43,1505.00,,  
662,3853,KING COFFEE GOURMET BLEND GROUND COFFEE,,S.R. ENTERPRISE,964.29,1350.00,1,964.52,,8935259000018
663,3854,SNICKERS HOME PACK 115g,,prathamesh enterprise,56.25,75.00,14,708.72,,8906002488018
664,3858,NESCAFE GOLD EDEL & AROMATISCH 200g,,A ONE SANDEEP,560.00,700.00,1,560.09,,4005500210900
665,3859,CHIKO ROYALE CARAMELS 500g,,ajfan,220.00,450.00,6,1320.00,,9501034608008
666,3860,CHIKO ROYALE CARDAMOM CARAMELS 350g,,ajfan,200.00,350.00,6,1200.00,,9501034609500
667,3862,MAGIC MINT JELLY 100g,,balaji international,30.00,50.00,33,990.00,,  
668,3863,WALL NUT KASHMEER 3,,QUARK FUTURE INNOVATION PVT LTD,900.00,1800.00,39,34875.00,,  
669,3864,BISLERI 1L,,AMAAN MARKETING,10.17,19.00,156,1586.46,,8906017290040
670,3868,JULES LE MOND PUFF SANDWICH MANGO CREAM,,MAHAVIR,145.00,200.00,12,1740.01,,9556121026104
671,3869,CRAZY SOURS SKITTLES,,jublee,43.05,70.00,32,1377.66,,5000159314985
672,3871,COOL GEL MENTOS CHERRY MINT,,jublee,90.00,130.00,1,90.00,,8990800019796
673,3872,COOL GEL MENTOS MINT,,jublee,90.00,130.00,1,90.00,,8990800019703
674,3875,MENTOS JUICE BLAST RED FRUIT LIME,,jublee,105.00,140.00,3,315.01,,80756613
675,3876,MENTOS JUICE BLAST WATERMELON,,jublee,105.00,140.00,1,105.00,,80756620
676,3877,ZESS WAFER ROLLS CHOCOLATE,,A J INTEX,170.00,250.00,10,1700.00,,9556023221904
677,3878,SAPPHIRE MAGIC STIX STRAWBERRY,,A J INTEX,94.00,125.00,6,564.00,,9556995130419
678,3879,JACKER WAFER CUBE TIRAMISU 100g,,A J INTEX,68.00,110.00,6,408.00,,9556023222512
679,3880,JACKER WAFER CUBE MILK 100g,,A J INTEX,68.00,110.00,10,680.00,,9556023564599
680,3881,JACKER WAFER CUBE HAZELNUT 100g,,A J INTEX,68.00,110.00,5,340.00,,9556023416645
681,3882,JACKER WAFER CUBE CHOCOLATE 100g,,A J INTEX,68.00,110.00,5,340.00,,9556023453480
682,3883,SAPPHIRE MAGIC STIX CHOCOLATE CREAM,,A J INTEX,94.00,125.00,8,752.00,,9556995130402
683,3884,SAPPHIRE MAGIC STIX HAZELNUT CREAM,,A J INTEX,94.00,125.00,7,658.00,,9556995130426
684,3885,PLANT POWER CHIKKI,,BABJI DISTRIBUTOR,69.64,120.00,34,2367.86,,8906090080002
685,3886,BERRY YOUNG CHIKKI,,BABJI DISTRIBUTOR,31.92,55.00,21,670.31,,8906090080026
686,3887,TOUGH NUT CHIKKI,,BABJI DISTRIBUTOR,37.72,65.00,17,641.29,,8906090080019
687,3888,PAPER BOAT THANDAI,,AYU INVESTMENTS,31.75,40.00,12,365.78,,8908001705745
688,3889,APPITAS OLIVE TWIST PITA CHIPS,,SHIV ENTERPRISE,28.57,40.00,3,85.72,,8908006108091
689,3890,APPITAS PITA CHIPS PARMESAN & HERBS,,SHIV ENTERPRISE,28.57,40.00,3,85.72,,8908006108046
690,3891,APPITAS PITA CHIPS PIRI PIRI,,SHIV ENTERPRISE,28.57,40.00,3,85.72,,8908006108114
691,3892,APPITAS PITA CHIPS MULTIGRAIN TANGY CHEES,,SHIV ENTERPRISE,28.57,40.00,3,85.72,,8908006108039
692,3893,APPITAS PITA CHIPS THAI SWEET CHILLY,,SHIV ENTERPRISE,28.57,40.00,3,85.72,,8908006108107
693,3894,SWEET CHILLI GARLIC SAUCE,,SHIV ENTERPRISE,57.45,99.00,2,114.91,,8906064651634
694,3895,BHUT SRIRACHA SAUCE,,SHIV ENTERPRISE,57.45,99.00,3,172.36,,8906064651559
695,3896,CHEESY KETCHUP,,SHIV ENTERPRISE,57.45,99.00,2,114.91,,8906064651504
696,3897,PERI PERI KETCHUP,,SHIV ENTERPRISE,57.45,99.00,1,57.45,,8906064651566
697,3898,GREEN  DAREDEVIL CHILLI SAUCE,,SHIV ENTERPRISE,57.44,99.00,3,172.33,,8906064651627
698,3899,ACHAARI SAUCE,,SHIV ENTERPRISE,57.45,99.00,3,172.36,,8906064651580
699,3900,SCHEZWAN CHILLI GARLIC SAUCE,,SHIV ENTERPRISE,57.45,99.00,2,114.91,,8906064651535
700,3901,CHINESE SECRET SAUCE,,SHIV ENTERPRISE,57.45,99.00,3,172.36,,8906064651542
701,3902,CHEESY JALAPENO SAUCE,,SHIV ENTERPRISE,57.45,99.00,1,57.45,,8906064651481
702,3903,CHEESY CHIPOTLE SAUCE,,SHIV ENTERPRISE,57.45,99.00,2,114.91,,8906064651511
703,3904,CHEESY SAUCE,,SHIV ENTERPRISE,57.45,99.00,3,172.36,,8906064651474
704,3905,TANDOORI SAUCE,,SHIV ENTERPRISE,57.45,99.00,3,172.36,,8906064651573
705,3906,RICOLA CRANBERRY,,local purchase,110.00,160.00,1,110.00,,7610700948347
706,3907,RICOLA ORIGINAL HERB,,local purchase,110.00,160.00,2,220.00,,7610700948439
707,3908,RICOLA MOUNTAIN MINT,,local purchase,110.00,160.00,3,330.00,,7610700948460
708,3909,BOOTS NO ADD SUGER MILK CHOCOLATE,,local purchase,270.00,400.00,2,540.00,,5000167082890
709,3910,BOOTS NO ADD SUGER MILK  WITH HAZELNUT,,local purchase,270.00,400.00,1,270.00,,5000167082913
710,3912,HERSHEY CANDY CANEWITH MINT 99g,,local purchase,140.00,220.00,1,140.00,,034000013821
711,3913,AMERIKAN COKTAIL,,local purchase,50.00,95.00,3,150.01,,8850534110407
712,3914,AMERICAN STYLE PEACH 300ML,,local purchase,50.00,95.00,3,150.01,,8859032701285
713,3915,AMERICAN PASSION FRUITS 300ML,,local purchase,50.00,95.00,3,150.01,,8850534110476
714,3916,AMERICAN PINEAPPLE 300 ML,,local purchase,50.00,95.00,3,150.01,,8859032701292
715,3917,RANI THREE JEWELS,,local purchase,23.33,30.00,23,536.62,,6281034015015
716,80016,NESTLE QUALITY STEET 240G,,local purchase,330.00,500.00,1,330.03,,50251100
717,80018,NESTLE QUALITY STREET-GB-480G,,local purchase,420.00,800.00,2,840.07,,5000189327290
718,80032,HARTLEYS STRAWBERRY JAM 340G,,RAJKALA INDUSTRIES PVT,184.15,275.00,1,184.12,20079990,50354061
719,80034,PURE HEAVEN,,Cash,185.00,299.00,2,370.00,,5032619311647
720,80053,STUTE BLACKCURENT 430G,,local purchase,180.00,350.00,1,180.01,,4006424022372
721,80056,AMERICAN STYLE LYCHEE 300ML,,local purchase,50.00,95.00,1,50.00,,8859032701315
722,80062,PRINGLES SOUR CREAM&ONION 40G,,jublee,50.00,70.00,3,150.00,,038000845529
723,80073,LINDT LINDOR MILK 200G,,local purchase,550.00,1000.00,3,1650.00,,8003340090535
724,80092,SAFFRON 1G,,APMC,160.00,390.00,21,3359.99,,8908002180282
725,80114,AMERICAN  STRAWBERRY,,Cash,0.00,95.00,2,0.00,,0005035
726,80115,KRAFT ORIGINAL MAYONNAISE 225G,,A ONE SANDEEP,180.00,290.00,1,180.00,,9555050300743
727,80117,LINDT CHO LAIT 100G,,Cash,0.00,400.00,1,0.00,,7610400084895
728,80120,TANG orange pauch 500gms,,A ONE SANDEEP,107.00,220.00,4,427.99,,7622300292430
729,80126,FIGARO SLCD B OLIVES 230GM,,A ONE SANDEEP,110.00,179.00,2,220.01,,8410159267056
730,80143,MILKA CARAMAL 100G,,Cash,0.00,200.00,1,0.00,,7622300086404
731,80151,CHO CHO CHEESE,,jublee,29.00,45.00,20,580.00,,8992952950484
732,80152,CHO CHO VANILLA,,jublee,29.00,45.00,4,116.00,,8992952924669
733,80162,TIFFANY HAZELNUT WAFERS 150G,,A ONE SANDEEP,53.00,75.00,11,583.09,,6291003007095
734,80165,NESCAFE CLASIC 50G,,A ONE SANDEEP,125.00,200.00,5,625.08,,7891000071809
735,80167,VOCHELLE HAZELNUTS GB-180G,,A ONE SANDEEP,250.00,350.00,8,1999.98,,9556049003119
736,80169,VOCHELLE ALMONDS GB-180G,,A ONE SANDEEP,250.00,350.00,2,499.99,,9556049003126
737,80189,PRINGLES orginal 40G,,MAHAVIR,60.00,70.00,2,120.00,,038000845512
738,80191,LIND LINDOR ASSOURTED 200G,,MAHAVIR,550.00,1000.00,2,1100.03,,8003340090276
739,80192,LINDT LINDOR EXTRA DRAK,,local purchase,550.00,1000.00,2,1100.00,,8003340090269
740,80200,ANNELEENS WHITE GRAPE,,A ONE SANDEEP,130.00,250.00,2,260.01,,5414145066008
741,80201,MOGUMOGU PcsEAPPLE 300ML,,local purchase,43.33,55.00,31,1343.31,,8850389100868
742,80202,RANI STOWARRY 180ML,,MAHAVIR,23.33,30.00,2,46.66,,6281034903916
743,80207,CHIKO ECLR CHOCO 750,,Cash,195.00,290.00,9,1755.00,,9501034778008
744,80218,SPRING ALMOUND MILK CHOLATE,,Cash,100.00,200.00,1,100.00,,9555711701414
745,80227,TOBLERONE DARK 100G,,jublee,85.00,150.00,27,2295.01,,7614500010617
746,80228,TOBLERONE 100 G fruit & Nut chocolate,,A ONE SANDEEP,77.50,135.00,8,619.95,,7614500010013
747,80229,TOBLERONE WITH 100G,,MAHAVIR,90.00,150.00,25,2250.10,,7614500010310
748,80234,KOKOLA FAMALY,,A ONE SANDEEP,195.00,300.00,1,195.01,,8998389683278
749,80243,EXTRA CLASIC BUBBLE,,Cash,91.67,150.00,1,91.67,,2284509
750,80248,Peanut m&m 45g,,A ONE SANDEEP,35.41,80.00,17,602.00,,40111445
751,80251,BOUNTY  57G,,prathamesh enterprise,37.50,50.00,30,1012.56,1806,40111216
752,80252,DAVIDOFF R AROMA 100G,,A ONE SANDEEP,310.00,550.00,1,310.02,0901,4006067084225
753,80253,MARS BAR 51G,,A ONE SANDEEP,25.41,40.00,24,609.94,18069010,5000159407236
754,80259,TWIX II BAR 50G,,prathamesh enterprise,37.50,50.00,6,202.51,1806,5000159459228
755,80264,MAGIC POP  POP CANDY 5.5G,,A ONE SANDEEP,4.62,10.00,86,397.34,,6929354789659
756,80273,MUNCHYS KRAKER SAYURAN,,A ONE SANDEEP,135.00,170.00,2,270.00,,9556439888562
757,80288,maltesers,,Cash,280.00,360.00,1,280.00,,5000159031103
758,80296,MOGUMOGU ORANGE 300ML,,local purchase,43.33,55.00,7,303.33,,8850389100677
759,80298,MOGUMOGU MANGO 300ML,,MAHAVIR,41.66,55.00,4,166.65,,8850389100769
760,80307,PRINGLES 40G,,jublee,50.00,70.00,1,50.00,,5053990107261
761,80312,RED BULL 250ML,,MAHAVIR,75.00,110.00,23,1725.01,,90162602
762,80315,TANG MANGO 2.5Kgs,,A ONE SANDEEP,640.00,1000.00,3,1920.00,,7622300489960
763,80329,HARTTLES APRICOT JAM 340G,,RAJKALA INDUSTRIES PVT,184.15,275.00,1,184.12,,50354085
764,80330,BLACKCURRENT JAM 340G,,RAJKALA INDUSTRIES PVT,184.15,275.00,1,184.12,,50354092
765,80341,MOGUMOGU GRAPE 300ML,,A ONE SANDEEP,43.33,55.00,10,433.32,,8850389101391
766,80342,MOGUMOGU APPLE 300ML,,local purchase,43.33,55.00,7,303.33,,8850389105399
767,80352,STute daibetic jam apricot 430g,,A ONE SANDEEP,185.00,350.00,1,185.01,,4006424022389
768,80353,STUTE DAIBETIC JAM TCORNG 430G,,A ONE SANDEEP,185.00,350.00,1,185.00,,4006424022693
769,80354,STUTE FINE CUT ORANGE 430G,,A ONE SANDEEP,190.00,350.00,1,189.99,,4006424022686
770,80356,JAF TEA EG 50G,,MAHAVIR,180.00,230.00,1,180.01,,4791038200499
771,80357,FLEMISH PINK,,MAHAVIR,70.00,99.00,12,840.00,,5414145066664
772,80368,FLEMISH BULE,,MAHAVIR,70.00,99.00,5,350.02,,5414145066640
773,80369,flemish purple,,MAHAVIR,70.00,99.00,7,490.02,,5414145066657
774,80370,FLEMISH RED 330ML,,MAHAVIR,70.00,99.00,10,700.03,,5414145066633
775,80383,SHANI 300 ML,,MAHAVIR,45.83,75.00,21,962.56,,012000800368
776,80385,PEPSY 300ML,,MAHAVIR,37.50,50.00,24,900.01,,012000800047
777,80386,7 UP 300ML,,MAHAVIR,37.50,50.00,23,862.51,,012000800313
778,80389,LINDT SWISS MILK CHO 100G,,jublee,195.00,300.00,2,390.03,,7610400010016
779,80395,TOBLERONE CRUNCHY ALMUND,,local purchase,90.00,150.00,11,990.00,,7622300710613
780,80410,KERK CHO SANDWICH230G,,A ONE SANDEEP,125.00,199.00,5,625.03,,9556085793821
781,80424,LINDT LINDOR ORANGE 200G,,local purchase,550.00,1000.00,2,1100.00,,8003340097145
782,80426,RAFFAELLO 30G T3 BAR,,A ONE SANDEEP,51.25,100.00,4,205.00,,80052487
783,80427,DONELLI GRAPE FRUITS,,Cash,0.00,0.00,1,0.00,,8008920654329
784,80432,DAVIDOFF 57 ESPRESSO 250GM,,local purchase,320.00,550.00,4,1280.07,0901,4006067060977
785,80435,LINDT SWISS CLASSIC DARK CHO 100G,,jublee,250.00,300.00,2,500.00,,7610400070188
786,80442,DOLPHIN FRUIT PUDDING 6P 85GM,,anandi bai,70.00,120.00,8,560.00,,9555028704740
787,80444,CADBURRY FLAKE 18G,,A ONE SANDEEP,23.05,50.00,35,806.69,,5000312003602
788,80445,chiko kokanaut,,anandi bai,195.00,280.00,16,3120.00,,9501034689007
789,80459,FIGARO SLCD G OLIVE 450GM,,MAHAVIR,100.00,150.00,1,100.00,,8410159270056
790,80465,FRESHS PENUT BUTTER CRUNCHY,,Cash,0.00,140.00,2,0.00,,8906065940393
791,80466,SNICKERS 50G,,prathamesh enterprise,30.64,35.00,27,827.28,,5000159461122
792,80468,HARTLEYS BLACK CHERRY 340G,,RAJKALA INDUSTRIES PVT,184.15,275.00,2,368.29,,50354139
793,80480,SPRING MILK CHOCOLATE 100G,,Cash,100.00,150.00,4,400.00,,9555711701186
794,80486,HERSHEYS COKS N CRM 146G,,MAHAVIR,260.00,450.00,2,520.00,,6942836706388
795,80496,SOUR PUNK APPL 40G,,local purchase,20.00,30.00,19,379.99,,8850632603597
796,80501,ALSHIFA HONEY 500ML,,SALEEM BAI,485.00,675.00,2,970.00,,6281073210181
797,80504,ALSHIFA HONEY 250ML,,SALEEM BAI,270.00,340.00,2,540.00,0409,6281073210143
798,80508,anneleen peach,,Cash,135.00,250.00,1,135.00,,5414145066022
799,80520,MAGGI VEG CUBE 20G,,A ONE SANDEEP,12.75,20.00,3,38.25,,6221007004479
800,80533,HARTLEYS PcsEAPPLE 340G,,RAJKALA INDUSTRIES PVT,184.15,275.00,3,552.37,,50354160
801,80534,NESCAFE MATINAL 200G,,jublee,300.00,499.00,4,1200.02,,7891000315606
802,80535,FERRERO ROCHER  T 3,,MAHAVIR,68.75,100.00,18,1237.53,,80050278
803,80536,FERRERO ROCHERT24-300Grm,,local purchase,590.00,799.00,5,2949.91,,8000500009673
804,80538,DELIGHT PRUNCE,,anandi bai,140.00,225.00,7,980.00,,8908005072560
805,80540,FRESHS BUTTER CREAMY 340G,,Cash,90.00,140.00,1,90.00,,8906065940409
806,80554,KOKOZO MANGO,,Cash,33.34,50.00,1,33.34,,8857099004288
807,80577,LINDT 85% CACAO,,jublee,200.00,330.00,2,400.00,,3046920022606
808,80584,ARABIAN ORANGE 290ML,,MAHAVIR,45.83,75.00,4,183.32,,8936085521920
809,80590,LINDT EXCELLENCE 70%DARK,,local purchase,190.00,330.00,3,570.05,,3046920028004
810,80594,TORETTO MILK CHO 1,,Cash,0.00,150.00,1,0.00,,9555711702305
811,80597,NUTELLA  FERRERO 350 G,,MAHAVIR,225.00,325.00,6,1350.02,,80177173
812,80611,HERSHEYS SYRUP STRAWBERRY 623G,,A ONE SANDEEP,150.00,200.00,4,600.00,,8901071706841
813,80616,STUTE STRAWBERRY 430G,,A ONE SANDEEP,190.00,350.00,1,190.01,,4006424022365
814,80632,AMERICAN LYCHEE 290ML,,Cash,45.00,75.00,1,45.00,,8936085521975
815,80633,JAF TEA JASMINE,,Cash,0.00,230.00,3,0.00,,4791038200482
816,80647,arabian pinapple,,A ONE SANDEEP,41.67,75.00,1,41.67,,8936085522033
